__itemName,__itemId,Event Day,Agenda Name,Short Description,Tag 1,Tag 2,Hosted By,Duration,Host Image,Slug,Time,id
,CWk7VAN5l,vANvFlEWW,Lunch & Peer Meetups,"Join small, topic-focused tables to discuss shared challenges and ideas.",Networking,Meetups,Steve Angelo,45 mins,"{""src"":""https://framerusercontent.com/images/kdOSS6oX0QI2MNascXhG4GDp9Y.jpg"",""alt"":""Event Speaker""}",lunch-peer-meetups,12:45 – 13:30,
,oujMHYa3g,vANvFlEWW,Responsible AI in Practice,"Practical approaches to governance, risk, and trust when deploying AI systems.",Ethics,Governance,James Okafor,45 mins,"{""src"":""https://framerusercontent.com/images/ImPch0d8DDnmh6cRRuwG2q07U.jpg"",""alt"":""Event Speaker""}",responsible-ai-in-practice,12:00 – 12:45,
,ocTfO8pbL,vANvFlEWW,Building AI-Ready Teams,"Roles, skills, and collaboration models teams are adopting to work effectively with AI.",Teams,Operations,Org Design Expert,45 mins,"{""src"":""https://framerusercontent.com/images/V6dFoZ9T9sz9ZfjSDk1mUoQzzk.jpg"",""alt"":""Event Speaker""}",building-ai-ready-teams,11:00 – 11:45,
,GR8NRGwUt,vANvFlEWW,Keynote: Scaling AI Beyond the First Use Case,"How teams move from isolated AI experiments to sustainable, organization-wide adoption.",Keynote,Scaling AI,Mitiho James,45 mins,"{""src"":""https://framerusercontent.com/images/JXKU3kvLy7cYOGXkzqr5DLHT64w.jpg"",""alt"":""Event Speaker""}",keynote-scaling-ai-beyond-the-first-use-case,10:00 – 10:45,
,qoIF85ug6,vANvFlEWW,Morning Coffee & Check-In,Ease into the day with coffee and informal conversations before sessions begin.,Networking,Coffee,Steve Angelo,30 mins,"{""src"":""https://framerusercontent.com/images/kdOSS6oX0QI2MNascXhG4GDp9Y.jpg"",""alt"":""Event Speaker""}",morning-coffee-check-in,09:30 – 10:00,
,dGrtqsaSc,DdzVU3ToQ,Hands-On Workshops,"Interactive sessions focused on building workflows, integrating AI into products, and working responsibly with AI.",Workshop,Hands-on,Mike Johasa,60 mins,"{""src"":""https://framerusercontent.com/images/eKnFvqXo8NgeKDp3haIv43lSQw.jpg"",""alt"":""Event Speaker""}",hands,13:30 – 14:30,
,ZG909gZNJ,DdzVU3ToQ,Engineering AI in Production,"Lessons from deploying, monitoring, and maintaining AI systems beyond the demo stage.",Engineering,Infrastructure,James Okafor,45 mins,"{""src"":""https://framerusercontent.com/images/iRgoQCvGS1zaGMqyv3Tk3caXGc0.jpg"",""alt"":""Event Speaker""}",hands-on-workshops,11:30 – 12:15,
,obxCW1vOc,DdzVU3ToQ,Designing AI-Powered Experiences,"How product and design teams are rethinking workflows, interfaces, and trust in AI-driven systems.",Design,Product,Senior Engineer,45 mins,"{""src"":""https://framerusercontent.com/images/x03iZHd85DE4I0yPBLcGKVLZk2A.jpg"",""alt"":""Event Speaker""}",designing-ai-powered-experiences,10:30 – 11:15,
,upxYEOssL,DdzVU3ToQ,Opening Keynote: Building AI That Actually Ships,A practical look at how teams move from experimentation to production when working with AI.,Keynote,Applied AI,Sarah Chen,45 mins,"{""src"":""https://framerusercontent.com/images/EKxofgzJqoUFa12aKNb6w3bdc.jpg"",""alt"":""Event Speaker""}",opening-keynote-building-ai-that-actually-ships,09:30 – 10:15,
,HomhaWZod,DdzVU3ToQ,Registration & Welcome,"Check in, grab coffee, and connect with fellow attendees.",Introduction,Networking,Event Team,30 mins,"{""src"":""https://framerusercontent.com/images/GdwRHopL5PPZoFG3vtKrMi8Obs.jpg"",""alt"":""Event Host""}",registration-welcome,09:00 – 09:30,
